Código Projeto,Setor,Valor Orçado,Valor Negociado,Desconto Concedido,Data Ativação Lead,Data Início,Data Termino,Cod Responsavel,Status
PA-0664,Marketing,R$ 14700.00,R$ 14700.00,R$ 0.00,18.12.2016,,,9,Em negociação
PA-0665,Logística,R$ 20700.00,R$ 20700.00,R$ 0.00,19.12.2016,,,7,Prospecção
PA-0666,Marketing,R$ 33800.00,,R$ 0.00,20.12.2016,,,6,Prospecção
PA-0667,Comercial,R$ 16300.00,R$ 16300.00,R$ 0.00,21.12.2016,,,3,Prospecção
PA-0668,TI,R$ 36100.00,R$ 32500.00,R$ 3600.00,21.12.2016,,,5,Aguardando NF
PA-0669,Logística,R$ 5800.00,R$ 5800.00,R$ 0.00,21.12.2016,,,4,Em negociação
PA-0670,RH,R$ 11500.00,R$ 9200.00,R$ 2300.00,22.12.2016,,,7,Em negociação
PA-0671,Compras,R$ 22800.00,R$ 16000.00,R$ 6800.00,22.12.2016,,,5,Em negociação
PA-0672,Marketing,R$ 31200.00,R$ 31200.00,R$ 0.00,23.12.2016,,,3,Em negociação
PA-0673,Marketing,R$ 14000.00,R$ 14000.00,R$ 0.00,24.12.2016,,,1,Prospecção
PA-0674,Logística,R$ 9200.00,R$ 7400.00,R$ 1800.00,24.12.2016,,,9,Prospecção
PA-0675,Produção,R$ 18000.00,R$ 12600.00,R$ 5400.00,25.12.2016,,,6,Prospecção
PA-0676,Logística,R$ 19600.00,R$ 17600.00,R$ 2000.00,26.12.2016,,,10,Prospecção
PA-0677,Marketing,R$ 24400.00,R$ 24400.00,R$ 0.00,27.12.2016,,,9,Em negociação
PA-0678,Comercial,R$ 25600.00,R$ 17900.00,R$ 7700.00,28.12.2016,18.2.2017,,6,Em andamento
PA-0679,TI,R$ 8100.00,R$ 8100.00,R$ 0.00,28.12.2016,,,5,Em negociação
PA-0680,Marketing,R$ 25000.00,R$ 25000.00,R$ 0.00,29.12.2016,,,5,Prospecção
PA-0681,comercial,R$ 22800.00,R$ 20500.00,R$ 2300.00,29.12.2016,,,10,Em negociação
PA-0682,TI,R$ 3200.00,R$ 2200.00,R$ 1000.00,29.12.2016,,,2,Aguardando NF
PA-0683,Comercial,R$ 4800.00,R$ 4800.00,R$ 0.00,30.12.2016,,,5,Aguardando NF
PA-0684,Marketing,R$ 20500.00,R$ 14400.00,R$ 6100.00,31.12.2016,,,5,Em negociação
PA-0685,RH,R$ 16400.00,R$ 16400.00,R$ 0.00,1.1.2017,,,10,Prospecção
PA-0686,Marketing,R$ 35900.00,R$ 28700.00,R$ 7200.00,1.1.2017,,,10,Prospecção
PA-0687,Logística,R$ 14400.00,R$ 14400.00,R$ 0.00,2.1.2017,,,4,Em negociação
PA-0688,Financeiro,R$ 6900.00,R$ 6200.00,R$ 700.00,2.1.2017,,,6,Prospecção
PA-0689,Logística,R$ 29900.00,R$ 23900.00,R$ 6000.00,3.1.2017,,,9,Em negociação
PA-0690,Comercial,R$ 35400.00,R$ 31900.00,R$ 3500.00,4.1.2017,,,7,Em negociação
PA-0691,TI,R$ 10700.00,R$ 10700.00,R$ 0.00,4.1.2017,23.2.2017,,8,Em andamento
PA-0692,Financeiro,R$ 30900.00,R$ 30900.00,R$ 0.00,5.1.2017,,,2,Prospecção
PA-0693,Marketing,R$ 37900.00,R$ 30300.00,R$ 7600.00,6.1.2017,,,7,Prospecção
PA-0694,RH,R$ 30600.00,R$ 21400.00,R$ 9200.00,6.1.2017,,,4,Em negociação
PA-0695,Logística,R$ 15300.00,R$ 15300.00,R$ 0.00,6.1.2017,9.3.2017,,4,Em andamento
PA-0696,Comercial,R$ 32200.00,R$ 32200.00,R$ 0.00,6.1.2017,20.2.2017,,9,Em andamento
PA-0697,TI,R$ 24200.00,R$ 21800.00,R$ 2400.00,6.1.2017,,,6,Prospecção
PA-0698,Produção,R$ 34600.00,R$ 24200.00,R$ 10400.00,7.1.2017,,,10,Prospecção
PA-0699,Comercial,R$ 6700.00,R$ 5400.00,R$ 1300.00,8.1.2017,,,6,Aguardando NF
PA-0700,TI,R$ 7700.00,R$ 7700.00,R$ 0.00,9.1.2017,,,2,Aguardando NF
PA-0701,TI,R$ 12700.00,R$ 12700.00,R$ 0.00,10.1.2017,25.2.2017,,8,EM ANDAMENTO
PA-0702,Financeiro,R$ 34700.00,R$ 34700.00,R$ 0.00,10.1.2017,,,10,Aguardando NF
PA-0703,TI,R$ 15400.00,R$ 10800.00,R$ 4600.00,10.1.2017,,,9,Prospecção
PA-0704,Logística,R$ 24600.00,R$ 24600.00,R$ 0.00,10.1.2017,,,1,Em negociação
PA-0705,Comercial,R$ 34600.00,R$ 34600.00,R$ 0.00,10.1.2017,,,3,Em negociação
PA-0706,Compras,R$ 8300.00,R$ 8300.00,R$ 0.00,11.1.2017,,,1,Prospecção
PA-0707,Marketing,R$ 29100.00,R$ 26200.00,R$ 2900.00,11.1.2017,19.3.2017,19.7.2017,4,Finalizado
PA-0708,Financeiro,R$ 9900.00,R$ 7900.00,R$ 2000.00,12.1.2017,,,7,Prospecção
PA-0709,Comercial,R$ 33300.00,R$ 33300.00,R$ 0.00,13.1.2017,,,2,Em negociação
PA-0710,Comercial,R$ 24400.00,R$ 24400.00,R$ 0.00,14.1.2017,,,9,Em negociação
PA-0711,Logística,R$ 21200.00,R$ 14800.00,R$ 6400.00,15.1.2017,,,2,Prospecção
PA-0712,TI,R$ 32600.00,R$ 22800.00,R$ 9800.00,16.1.2017,,,2,Prospecção
PA-0713,Marketing,R$ 3300.00,R$ 3300.00,R$ 0.00,16.1.2017,,,3,Prospecção
PA-0714,Produção,R$ 18000.00,R$ 18000.00,R$ 0.00,17.1.2017,,,4,Aguardando NF
PA-0715,Marketing,R$ 33400.00,R$ 33400.00,R$ 0.00,18.1.2017,,,1,Em negociação
PA-0716,Financeiro,R$ 17000.00,R$ 17000.00,R$ 0.00,18.1.2017,,,10,Em negociação
PA-0717,TI,R$ 28700.00,R$ 20100.00,R$ 8600.00,19.1.2017,,,7,Prospecção
PA-0718,Comercial,R$ 20800.00,R$ 20800.00,R$ 0.00,19.1.2017,,,2,Prospecção
PA-0719,Compras,R$ 30800.00,R$ 24600.00,R$ 6200.00,20.1.2017,23.2.2017,,2,Em andamento
PA-0720,Logística,R$ 12400.00,R$ 12400.00,R$ 0.00,20.1.2017,,,9,Prospecção
PA-0721,comercial,R$ 16600.00,R$ 16600.00,R$ 0.00,20.1.2017,,,3,Em negociação
PA-0722,TI,R$ 28100.00,R$ 28100.00,R$ 0.00,20.1.2017,,,7,Prospecção
PA-0723,TI,R$ 3900.00,R$ 3900.00,R$ 0.00,21.1.2017,,,10,Aguardando NF
PA-0724,Financeiro,R$ 4300.00,R$ 4300.00,R$ 0.00,22.1.2017,,,9,Em negociação
PA-0725,Marketing,R$ 21200.00,R$ 21200.00,R$ 0.00,23.1.2017,15.2.2017,,9,Em andamento
PA-0726,Financeiro,R$ 23000.00,R$ 16100.00,R$ 6900.00,24.1.2017,,,7,Em negociação
PA-0727,TI,R$ 26700.00,R$ 24000.00,R$ 2700.00,25.1.2017,,,8,Prospecção
PA-0728,TI,R$ 3700.00,R$ 3700.00,R$ 0.00,25.1.2017,,,10,Prospecção
PA-0729,RH,R$ 19200.00,R$ 19200.00,R$ 0.00,25.1.2017,,,3,Prospecção
PA-0730,Marketing,R$ 36100.00,R$ 36100.00,R$ 0.00,26.1.2017,,,1,Prospecção
PA-0731,Financeiro,R$ 16200.00,R$ 16200.00,R$ 0.00,26.1.2017,,,2,Prospecção
PA-0732,Logística,R$ 33300.00,R$ 33300.00,R$ 0.00,26.1.2017,,,1,Prospecção
PA-0733,Logística,R$ 6700.00,R$ 6700.00,R$ 0.00,26.1.2017,,,10,Aguardando NF
PA-0734,Comercial,R$ 34100.00,R$ 27300.00,R$ 6800.00,27.1.2017,,,7,Prospecção
PA-0735,Financeiro,R$ 10700.00,R$ 9600.00,R$ 1100.00,28.1.2017,,,7,Aguardando NF
PA-0736,TI,R$ 34100.00,R$ 34100.00,R$ 0.00,28.1.2017,,,5,Em negociação
PA-0737,Marketing,R$ 16200.00,R$ 16200.00,R$ 0.00,29.1.2017,,,6,Em negociação
PA-0738,Compras,R$ 27400.00,R$ 27400.00,R$ 0.00,30.1.2017,28.3.2017,,2,Em andamento
PA-0739,Financeiro,R$ 29000.00,R$ 29000.00,R$ 0.00,31.1.2017,,,6,Em negociação
PA-0740,Comercial,R$ 27100.00,R$ 24400.00,R$ 2700.00,1.2.2017,,,7,Prospecção
PA-0741,Marketing,R$ 10800.00,R$ 10800.00,R$ 0.00,2.2.2017,,,9,Em negociação
PA-0742,Marketing,R$ 10800.00,R$ 10800.00,R$ 0.00,2.2.2017,,,5,Aguardando NF
PA-0743,TI,R$ 26100.00,R$ 20900.00,R$ 5200.00,2.2.2017,21.3.2017,,2,Em andamento
PA-0744,Financeiro,R$ 15200.00,R$ 10600.00,R$ 4600.00,2.2.2017,,,3,Em negociação
PA-0745,Comercial,R$ 25200.00,R$ 25200.00,R$ 0.00,3.2.2017,,,3,Aguardando NF
PA-0746,TI,R$ 13400.00,R$ 10700.00,R$ 2700.00,3.2.2017,,,6,Prospecção
PA-0747,Marketing,R$ 16200.00,R$ 11300.00,R$ 4900.00,3.2.2017,,,2,Em negociação
PA-0748,TI,R$ 33300.00,R$ 33300.00,R$ 0.00,4.2.2017,,,10,Prospecção
PA-0749,Logística,R$ 15800.00,R$ 14200.00,R$ 1600.00,5.2.2017,,,1,Prospecção
PA-0750,Compras,R$ 31200.00,R$ 31200.00,R$ 0.00,6.2.2017,,,8,Aguardando NF
PA-0751,TI,R$ 26100.00,R$ 26100.00,R$ 0.00,6.2.2017,,,9,EM NEGOCIAÇÃO
PA-0752,Comercial,R$ 27000.00,R$ 27000.00,R$ 0.00,7.2.2017,,,4,Em negociação
PA-0753,TI,R$ 33300.00,R$ 33300.00,R$ 0.00,7.2.2017,,,9,Em negociação
PA-0754,Marketing,R$ 5100.00,R$ 5100.00,R$ 0.00,7.2.2017,,,6,Aguardando NF
PA-0755,TI,R$ 27800.00,R$ 22200.00,R$ 5600.00,7.2.2017,8.3.2017,,8,Em andamento
PA-0756,Marketing,R$ 13600.00,R$ 9500.00,R$ 4100.00,8.2.2017,,,10,Prospecção
PA-0757,Produção,R$ 17600.00,R$ 14100.00,R$ 3500.00,8.2.2017,,,7,Em negociação
PA-0758,Marketing,R$ 30400.00,R$ 30400.00,R$ 0.00,8.2.2017,,,3,Em negociação
PA-0759,Comercial,R$ 17400.00,R$ 15700.00,R$ 1700.00,9.2.2017,,,8,Prospecção
PA-0760,Comercial,R$ 14800.00,R$ 10400.00,R$ 4400.00,9.2.2017,12.4.2017,,3,Em andamento
PA-0761,financeiro,R$ 7900.00,,R$ 2400.00,9.2.2017,25.3.2017,,7,Em andamento
PA-0762,Marketing,R$ 4300.00,R$ 4300.00,R$ 0.00,9.2.2017,,,7,Prospecção
PA-0763,Marketing,R$ 33700.00,R$ 33700.00,R$ 0.00,10.2.2017,,,8,Aguardando NF
PA-0764,Produção,R$ 34900.00,R$ 34900.00,R$ 0.00,10.2.2017,,,1,Em negociação
PA-0765,RH,R$ 31200.00,R$ 21800.00,R$ 9400.00,11.2.2017,20.3.2017,,8,Em andamento
PA-0766,Compras,R$ 11200.00,R$ 11200.00,R$ 0.00,12.2.2017,,,9,Aguardando NF
PA-0767,Compras,R$ 32700.00,R$ 29400.00,R$ 3300.00,13.2.2017,20.3.2017,,8,Em andamento
PA-0768,Financeiro,R$ 28400.00,R$ 25600.00,R$ 2800.00,13.2.2017,,,8,Em negociação
PA-0769,Financeiro,R$ 18700.00,R$ 15000.00,R$ 3700.00,13.2.2017,1.4.2017,19.7.2017,6,Finalizado
PA-0770,RH,R$ 8100.00,R$ 8100.00,R$ 0.00,13.2.2017,,,8,Prospecção
PA-0771,Comercial,R$ 13800.00,R$ 12400.00,R$ 1400.00,13.2.2017,,,5,Prospecção
PA-0772,Financeiro,R$ 27400.00,R$ 24700.00,R$ 2700.00,13.2.2017,,,9,Em negociação
PA-0773,Comercial,R$ 23000.00,R$ 20700.00,R$ 2300.00,13.2.2017,,,1,Aguardando NF
PA-0774,TI,R$ 23700.00,R$ 23700.00,R$ 0.00,14.2.2017,,,3,Prospecção
PA-0775,Financeiro,R$ 20300.00,R$ 18300.00,R$ 2000.00,15.2.2017,,,5,Em negociação
PA-0776,Financeiro,R$ 19500.00,R$ 13700.00,R$ 5800.00,16.2.2017,,,9,Aguardando NF
PA-0777,Financeiro,R$ 8600.00,R$ 8600.00,R$ 0.00,17.2.2017,,,9,Em negociação
PA-0778,Comercial,R$ 4000.00,R$ 4000.00,R$ 0.00,17.2.2017,,,2,Em negociação
PA-0779,Marketing,R$ 13600.00,R$ 10900.00,R$ 2700.00,17.2.2017,13.3.2017,,10,Em andamento
PA-0780,Comercial,R$ 30500.00,R$ 30500.00,R$ 0.00,17.2.2017,,,9,Prospecção
PA-0781,FINANCEIRO,R$ 3900.00,R$ 3500.00,,18.2.2017,,,7,Em negociação
PA-0782,Marketing,R$ 14200.00,R$ 14200.00,R$ 0.00,19.2.2017,10.4.2017,4.9.2017,6,Finalizado
PA-0783,Marketing,R$ 28200.00,R$ 25400.00,R$ 2800.00,19.2.2017,,,3,Em negociação
PA-0784,Logística,R$ 4900.00,R$ 4900.00,R$ 0.00,19.2.2017,,,2,Aguardando NF
PA-0785,Financeiro,R$ 13100.00,R$ 10500.00,R$ 2600.00,19.2.2017,,,9,Aguardando NF
PA-0786,Financeiro,R$ 4100.00,R$ 3300.00,R$ 800.00,19.2.2017,,,3,Em negociação
PA-0787,Logística,R$ 15000.00,R$ 15000.00,R$ 0.00,19.2.2017,,,3,Em negociação
PA-0788,Marketing,R$ 10300.00,R$ 10300.00,R$ 0.00,19.2.2017,3.4.2017,31.7.2017,1,Finalizado
PA-0789,Marketing,R$ 25600.00,R$ 25600.00,R$ 0.00,19.2.2017,,,4,Prospecção
PA-0790,Compras,R$ 15500.00,R$ 15500.00,R$ 0.00,20.2.2017,,,9,Prospecção
PA-0791,Marketing,R$ 33000.00,R$ 33000.00,R$ 0.00,21.2.2017,,,1,Em negociação
PA-0792,Comercial,R$ 20600.00,R$ 20600.00,R$ 0.00,22.2.2017,14.3.2017,17.7.2017,9,Finalizado
PA-0793,Financeiro,R$ 22000.00,R$ 22000.00,R$ 0.00,22.2.2017,,,10,Prospecção
PA-0794,Produção,R$ 16200.00,R$ 14600.00,R$ 1600.00,23.2.2017,,,4,Em negociação
PA-0795,Compras,R$ 10800.00,R$ 10800.00,R$ 0.00,24.2.2017,,,7,Em negociação
PA-0796,Financeiro,R$ 22200.00,R$ 20000.00,R$ 2200.00,24.2.2017,,,7,Prospecção
PA-0797,Comercial,R$ 18400.00,R$ 18400.00,R$ 0.00,25.2.2017,,,5,Prospecção
PA-0798,Compras,R$ 6400.00,R$ 4500.00,R$ 1900.00,25.2.2017,,,8,Prospecção
PA-0799,Produção,R$ 9700.00,R$ 6800.00,R$ 2900.00,25.2.2017,12.4.2017,8.5.2017,6,Finalizado
PA-0800,Financeiro,R$ 29700.00,R$ 29700.00,R$ 0.00,26.2.2017,,,6,Em negociação
PA-0801,comercial,R$ 15700.00,R$ 12600.00,R$ 3100.00,27.2.2017,,,8,PROSPECÇÃO
PA-0802,Marketing,R$ 37100.00,R$ 37100.00,R$ 0.00,28.2.2017,,,7,Prospecção
PA-0803,Financeiro,R$ 24500.00,R$ 24500.00,R$ 0.00,1.3.2017,,,3,Prospecção
PA-0804,TI,R$ 24800.00,R$ 24800.00,R$ 0.00,2.3.2017,,,8,Prospecção
PA-0805,Logística,R$ 7200.00,R$ 5000.00,R$ 2200.00,3.3.2017,,,9,Aguardando NF
PA-0806,Comercial,R$ 36700.00,R$ 36700.00,R$ 0.00,3.3.2017,29.3.2017,,8,Em andamento
PA-0807,Logística,R$ 14900.00,R$ 13400.00,R$ 1500.00,4.3.2017,,,8,Em negociação
PA-0808,Compras,R$ 8400.00,R$ 8400.00,R$ 0.00,4.3.2017,,,1,Prospecção
PA-0809,Financeiro,R$ 11800.00,R$ 11800.00,R$ 0.00,4.3.2017,,,6,Prospecção
PA-0810,Financeiro,R$ 25800.00,R$ 23200.00,R$ 2600.00,5.3.2017,,,10,Em negociação
PA-0811,LOGÍSTICA,R$ 31200.00,R$ 21800.00,R$ 9400.00,6.3.2017,30.3.2017,,8,Em andamento
PA-0812,Marketing,R$ 7000.00,R$ 7000.00,R$ 0.00,7.3.2017,,,5,Em negociação
PA-0813,TI,R$ 19700.00,R$ 19700.00,R$ 0.00,8.3.2017,22.4.2017,,2,Em andamento
PA-0814,Comercial,R$ 16000.00,R$ 16000.00,R$ 0.00,8.3.2017,,,10,Prospecção
PA-0815,Logística,R$ 6400.00,R$ 4500.00,R$ 1900.00,8.3.2017,,,5,Prospecção
PA-0816,RH,R$ 32500.00,R$ 26000.00,R$ 6500.00,9.3.2017,,,6,Em negociação
PA-0817,TI,R$ 30200.00,R$ 27200.00,R$ 3000.00,10.3.2017,,,5,Aguardando NF
PA-0818,TI,R$ 11100.00,R$ 7800.00,R$ 3300.00,10.3.2017,,,5,Prospecção
PA-0819,Financeiro,R$ 11100.00,R$ 11100.00,R$ 0.00,11.3.2017,,,2,Prospecção
PA-0820,Comercial,R$ 20600.00,R$ 20600.00,R$ 0.00,12.3.2017,,,9,Aguardando NF
PA-0821,Comercial,R$ 12000.00,R$ 12000.00,R$ 0.00,12.3.2017,,,7,Aguardando NF
PA-0822,TI,R$ 23600.00,R$ 21200.00,R$ 2400.00,13.3.2017,30.4.2017,,8,Em andamento
PA-0823,Marketing,R$ 3100.00,R$ 2800.00,R$ 300.00,13.3.2017,,,4,Prospecção
PA-0824,TI,R$ 37700.00,R$ 30200.00,R$ 7500.00,13.3.2017,,,10,Aguardando NF
PA-0825,Marketing,R$ 35200.00,R$ 35200.00,R$ 0.00,13.3.2017,,,1,Prospecção
PA-0826,Produção,R$ 4500.00,R$ 4500.00,R$ 0.00,13.3.2017,,,7,Em negociação
PA-0827,Marketing,R$ 25300.00,R$ 22800.00,R$ 2500.00,14.3.2017,,,4,Aguardando NF
PA-0828,Comercial,R$ 28600.00,R$ 28600.00,R$ 0.00,15.3.2017,,,3,Prospecção
PA-0829,Financeiro,R$ 10800.00,R$ 10800.00,R$ 0.00,16.3.2017,,,5,Prospecção
PA-0830,TI,R$ 23500.00,R$ 23500.00,R$ 0.00,16.3.2017,,,10,Prospecção
PA-0831,Comercial,R$ 27800.00,R$ 27800.00,R$ 0.00,17.3.2017,,,9,Em negociação
PA-0832,Financeiro,R$ 17700.00,R$ 17700.00,R$ 0.00,17.3.2017,,,8,Prospecção
PA-0833,TI,R$ 7700.00,R$ 5400.00,R$ 2300.00,18.3.2017,,,2,Prospecção
PA-0834,Comercial,R$ 3900.00,R$ 2700.00,R$ 1200.00,18.3.2017,13.4.2017,,3,Em andamento
PA-0835,Comercial,R$ 14300.00,R$ 14300.00,R$ 0.00,18.3.2017,,,2,Prospecção
PA-0836,Logística,R$ 19000.00,R$ 15200.00,R$ 3800.00,18.3.2017,17.4.2017,28.6.2017,7,Finalizado
PA-0837,Compras,R$ 27600.00,R$ 27600.00,R$ 0.00,18.3.2017,,,9,Prospecção
PA-0838,Comercial,R$ 4100.00,R$ 4100.00,R$ 0.00,18.3.2017,,,10,Em negociação
PA-0839,TI,R$ 23400.00,R$ 21100.00,R$ 2300.00,18.3.2017,,,1,Em negociação
PA-0840,Logística,R$ 12600.00,R$ 8800.00,R$ 3800.00,19.3.2017,,,10,Aguardando NF
PA-0841,logística,R$ 18100.00,R$ 18100.00,R$ 0.00,19.3.2017,,,9,Prospecção
PA-0842,Marketing,R$ 30800.00,R$ 30800.00,R$ 0.00,19.3.2017,,,1,Aguardando NF
PA-0843,Logística,R$ 4300.00,R$ 3400.00,R$ 900.00,19.3.2017,26.5.2017,,3,Em andamento
PA-0844,Financeiro,R$ 28700.00,R$ 23000.00,R$ 5700.00,19.3.2017,27.5.2017,,8,Em andamento
PA-0845,Produção,R$ 12000.00,R$ 12000.00,R$ 0.00,20.3.2017,25.5.2017,,5,Em andamento
PA-0846,Comercial,R$ 6000.00,R$ 6000.00,R$ 0.00,21.3.2017,18.4.2017,,9,Em andamento
PA-0847,Marketing,R$ 6100.00,R$ 5500.00,R$ 600.00,21.3.2017,,,1,Prospecção
PA-0848,TI,R$ 8800.00,R$ 8800.00,R$ 0.00,21.3.2017,,,1,Prospecção
PA-0849,Marketing,R$ 31700.00,R$ 31700.00,R$ 0.00,21.3.2017,,,2,Em negociação
PA-0850,Marketing,R$ 30500.00,R$ 21400.00,R$ 9100.00,21.3.2017,,,1,Prospecção
PA-0851,Comercial,R$ 33800.00,R$ 33800.00,R$ 0.00,21.3.2017,,,10,AGUARDANDO NF
PA-0852,Comercial,R$ 24500.00,R$ 24500.00,R$ 0.00,21.3.2017,,,4,Em negociação
PA-0853,Marketing,R$ 37200.00,R$ 37200.00,R$ 0.00,22.3.2017,,,8,Prospecção
PA-0854,TI,R$ 4000.00,R$ 2800.00,R$ 1200.00,23.3.2017,,,7,Prospecção
PA-0855,Financeiro,R$ 16600.00,R$ 11600.00,R$ 5000.00,24.3.2017,,,9,Aguardando NF
PA-0856,Logística,R$ 34500.00,,R$ 6900.00,25.3.2017,16.4.2017,,8,Em andamento
PA-0857,Financeiro,R$ 16100.00,R$ 16100.00,R$ 0.00,25.3.2017,30.4.2017,,10,Em andamento
PA-0858,TI,R$ 4000.00,R$ 4000.00,R$ 0.00,25.3.2017,,,7,Prospecção
PA-0859,Comercial,R$ 22500.00,R$ 15800.00,R$ 6700.00,25.3.2017,,,1,Prospecção
PA-0860,TI,R$ 20500.00,R$ 20500.00,R$ 0.00,25.3.2017,,,7,Aguardando NF
PA-0861,Comercial,R$ 4600.00,R$ 3700.00,R$ 900.00,26.3.2017,,,10,Prospecção
PA-0862,TI,R$ 25400.00,R$ 25400.00,R$ 0.00,27.3.2017,18.5.2017,,5,Em andamento
PA-0863,Financeiro,R$ 5800.00,R$ 4100.00,R$ 1700.00,27.3.2017,,,7,Prospecção
PA-0864,Compras,R$ 6300.00,R$ 6300.00,R$ 0.00,27.3.2017,,,8,Em negociação
PA-0865,Marketing,R$ 7800.00,R$ 6200.00,R$ 1600.00,27.3.2017,,,4,Prospecção
PA-0866,Logística,R$ 17500.00,R$ 14000.00,R$ 3500.00,27.3.2017,,,5,Prospecção
PA-0867,Compras,R$ 33900.00,R$ 23700.00,R$ 10200.00,28.3.2017,,,10,Aguardando NF
PA-0868,Comercial,R$ 14600.00,R$ 14600.00,R$ 0.00,28.3.2017,,,1,Aguardando NF
PA-0869,Financeiro,R$ 25500.00,R$ 17900.00,R$ 7600.00,28.3.2017,12.5.2017,,9,Em andamento
PA-0870,TI,R$ 24400.00,R$ 24400.00,R$ 0.00,28.3.2017,,,8,Aguardando NF
PA-0871,MARKETING,R$ 26400.00,R$ 26400.00,R$ 0.00,28.3.2017,,,1,Aguardando NF
PA-0872,TI,R$ 33500.00,R$ 30200.00,R$ 3300.00,28.3.2017,,,9,Em negociação
PA-0873,TI,R$ 9000.00,R$ 9000.00,R$ 0.00,29.3.2017,,,8,Prospecção
PA-0874,Comercial,R$ 12400.00,R$ 12400.00,R$ 0.00,30.3.2017,,,8,Prospecção
PA-0875,TI,R$ 21200.00,R$ 21200.00,R$ 0.00,30.3.2017,,,4,Prospecção
PA-0876,Comercial,R$ 11000.00,R$ 11000.00,R$ 0.00,31.3.2017,,,2,Aguardando NF
PA-0877,TI,R$ 22000.00,R$ 15400.00,R$ 6600.00,1.4.2017,,,2,Prospecção
PA-0878,Marketing,R$ 20200.00,R$ 20200.00,R$ 0.00,1.4.2017,,,4,Prospecção
PA-0879,RH,R$ 29300.00,R$ 29300.00,R$ 0.00,2.4.2017,,,10,Em negociação
PA-0880,Comercial,R$ 24900.00,R$ 24900.00,R$ 0.00,2.4.2017,,,5,Em negociação
PA-0881,comercial,R$ 33000.00,R$ 33000.00,R$ 0.00,3.4.2017,17.5.2017,,9,Em andamento
PA-0882,Comercial,R$ 28100.00,R$ 22500.00,R$ 5600.00,3.4.2017,,,5,Em negociação
PA-0883,TI,R$ 23700.00,R$ 23700.00,R$ 0.00,3.4.2017,,,7,Em negociação
PA-0884,RH,R$ 28400.00,R$ 22700.00,R$ 5700.00,3.4.2017,,,1,Aguardando NF
PA-0885,Compras,R$ 6200.00,R$ 6200.00,R$ 0.00,4.4.2017,,,1,Em negociação
PA-0886,Comercial,R$ 32000.00,R$ 32000.00,R$ 0.00,5.4.2017,,,7,Em negociação
PA-0887,Financeiro,R$ 12700.00,R$ 11400.00,R$ 1300.00,5.4.2017,,,10,Prospecção
PA-0888,TI,R$ 4800.00,R$ 4800.00,R$ 0.00,6.4.2017,,,9,Em negociação
PA-0889,Logística,R$ 33900.00,R$ 30500.00,R$ 3400.00,7.4.2017,,,9,Aguardando NF
PA-0890,Marketing,R$ 13100.00,R$ 11800.00,R$ 1300.00,7.4.2017,,,1,Prospecção
PA-0891,Marketing,R$ 15200.00,R$ 12200.00,R$ 3000.00,8.4.2017,,,6,Aguardando NF
PA-0892,Financeiro,R$ 29400.00,R$ 29400.00,R$ 0.00,8.4.2017,,,6,Em negociação
PA-0893,Produção,R$ 26300.00,R$ 23700.00,R$ 2600.00,9.4.2017,1.5.2017,21.5.2017,4,Finalizado
PA-0894,TI,R$ 12000.00,R$ 12000.00,R$ 0.00,9.4.2017,,,6,Em negociação
PA-0895,TI,R$ 12300.00,R$ 12300.00,R$ 0.00,9.4.2017,,,6,Prospecção
PA-0896,Comercial,R$ 18500.00,R$ 13000.00,R$ 5500.00,9.4.2017,,,8,Em negociação
PA-0897,Comercial,R$ 21600.00,R$ 21600.00,R$ 0.00,9.4.2017,,,9,Prospecção
PA-0898,TI,R$ 20500.00,R$ 16400.00,R$ 4100.00,9.4.2017,,,6,Em negociação
PA-0899,Financeiro,R$ 31200.00,R$ 31200.00,R$ 0.00,10.4.2017,,,4,Aguardando NF
PA-0900,Comercial,R$ 36900.00,R$ 36900.00,R$ 0.00,10.4.2017,5.6.2017,,9,Em andamento
PA-0901,FINANCEIRO,R$ 23300.00,R$ 16300.00,R$ 7000.00,10.4.2017,,,8,EM NEGOCIAÇÃO
PA-0902,Logística,R$ 20000.00,R$ 20000.00,R$ 0.00,10.4.2017,,,8,Prospecção
PA-0903,Marketing,R$ 6600.00,R$ 6600.00,R$ 0.00,11.4.2017,,,2,Prospecção
PA-0904,Financeiro,R$ 24500.00,R$ 24500.00,R$ 0.00,11.4.2017,,,6,Aguardando NF
PA-0905,Comercial,R$ 12400.00,R$ 9900.00,R$ 2500.00,11.4.2017,,,5,Prospecção
PA-0906,Produção,R$ 28900.00,R$ 20200.00,R$ 8700.00,12.4.2017,,,5,Aguardando NF
PA-0907,Marketing,R$ 35800.00,R$ 35800.00,R$ 0.00,12.4.2017,,,7,Prospecção
PA-0908,TI,R$ 37000.00,R$ 25900.00,R$ 11100.00,12.4.2017,,,6,Em negociação
PA-0909,TI,R$ 9000.00,R$ 9000.00,R$ 0.00,12.4.2017,,,5,Aguardando NF
PA-0910,Comercial,R$ 32900.00,R$ 32900.00,R$ 0.00,13.4.2017,,,10,Em negociação
PA-0911,Produção,R$ 34500.00,R$ 34500.00,,14.4.2017,,,1,Em negociação
PA-0912,Compras,R$ 6200.00,R$ 4300.00,R$ 1900.00,14.4.2017,,,4,Em negociação
PA-0913,Compras,R$ 25600.00,R$ 25600.00,R$ 0.00,14.4.2017,,,1,Prospecção
PA-0914,TI,R$ 10500.00,R$ 7400.00,R$ 3100.00,15.4.2017,,,7,Em negociação
