Numero Ordem,Cod Operador,Produto,Ocorrência,Inicio,Fim,Qtd Produzida,Qtd Rejeitada
1090,10,Racing Madness 2009 E169,Preparação de Máquina,17.02.2021 07:57:04,17.02.2021 08:46:52,0,0
1090,10,Racing Madness 2009 E169,Controle de Qualidade,13.02.2021 07:28:07,13.02.2021 07:48:20,0,0
1090,1,Racing Madness 2009 E169,,13.02.2021 14:29:19,13.02.2021 15:40:11,214,0
1091,4,1GB Pulse Smart pen E50 Silver,Preparação de Máquina,12.02.2021 07:50:00,12.02.2021 08:25:07,0,0
1091,1,1GB Pulse Smart pen E50 Silver,Controle de Qualidade,14.02.2021 08:06:00,14.02.2021 08:25:37,0,0
1091,1,1GB Pulse Smart pen E50 Silver,,16.02.2021 14:01:14,16.02.2021 15:21:39,229,0
1092,7,LCD22 M2002 White,Controle de Qualidade,12.02.2021 12:49:14,12.02.2021 13:08:50,0,0
1092,8,LCD22 M2002 White,,15.02.2021 14:49:46,15.02.2021 17:44:57,63,0
1093,10,Bicycle Casino Games X700,Controle de Qualidade,13.02.2021 07:12:34,13.02.2021 07:32:48,0,0
1093,4,Bicycle Casino Games X700,,15.02.2021 13:38:03,15.02.2021 16:33:29,179,0
1094,9,22xDVD M600 Silver,Preparação de Máquina,18.02.2021 09:22:53,19.02.2021 00:37:38,0,0
1094,10,22xDVD M600 Silver,Controle de Qualidade,14.02.2021 08:42:17,15.02.2021 05:47:02,0,0
1094,6,22xDVD M600 Silver,,13.02.2021 15:49:32,14.02.2021 10:49:39,13,0
1094,9,22xDVD M600 Silver,,12.02.2021 14:49:20,13.02.2021 07:54:37,13,0
1094,6,22xDVD M600 Silver,,12.02.2021 09:07:37,13.02.2021 08:13:09,13,0
1095,8,17'' Oscillating Pedestal Fan M125 White,,16.02.2021 09:55:35,16.02.2021 14:55:50,180,0
1096,,HOME THEATER SYSTEM 4.1 CHANNEL M412 BLACK,Preparação de Máquina,16.02.2021 12:33:50,16.02.2021 13:34:04,0,
1096,3,Home Theater System 4.1 Channel M412 Black,Controle de Qualidade,14.02.2021 08:23:16,14.02.2021 08:43:15,0,0
1096,5,Home Theater System 4.1 Channel M412 Black,,13.02.2021 07:33:01,13.02.2021 08:43:35,330,0
1097,3,Car Video LCD9.2W X9281 Black,Preparação de Máquina,17.02.2021 09:38:26,17.02.2021 10:48:28,0,0
1097,3,Car Video LCD9.2W X9281 Black,Outros,14.02.2021 09:10:13,14.02.2021 12:50:25,0,0
1097,10,Car Video LCD9.2W X9281 Black,Preparação de Máquina,13.02.2021 08:20:06,13.02.2021 09:10:13,0,0
1097,6,Car Video LCD9.2W X9281 Black,Controle de Qualidade,12.02.2021 16:12:08,12.02.2021 16:32:04,0,0
1097,7,Car Video LCD9.2W X9281 Black,Controle de Qualidade,18.02.2021 15:22:01,18.02.2021 15:41:47,0,0
1097,6,Car Video LCD9.2W X9281 Black,,16.02.2021 10:16:53,16.02.2021 13:12:32,64,0
1098,1,DVD Movies E100 Yellow,Outros,16.02.2021 09:25:12,16.02.2021 11:29:56,347,0
1099,1,dvd e340 black,Preparação de Máquina,15.02.2021 10:41:48,15.02.2021 11:01:45,0,0
1099,2,DVD E340 Black,Controle de Qualidade,13.02.2021 13:41:13,13.02.2021 13:58:21,0,0
1099,10,DVD E340 Black,,12.02.2021 16:54:28,12.02.2021 17:12:46,320,0
1079,8,Home Theater System 2.1 Channel E210 Brown,,18.02.2021 14:11:36,18.02.2021 19:12:10,141,0
1079,10,Home Theater System 2.1 Channel E210 Brown,,12.02.2021 13:24:31,12.02.2021 17:25:21,141,18
1082,10,Hand Games women M40 Silver,,13.02.2021 17:36:05,13.02.2021 22:36:56,118,0
1070,5,Zoo Tycoon 2: End Range Species Expansion Pack 2008 E138,,12.02.2021 15:26:03,12.02.2021 17:26:40,274,0
1100,2,Wireless Bluetooth Stereo Headphones M402 Green,,13.02.2021 09:33:59,13.02.2021 09:54:10,48,0
1101,1,Water Heater 1.5GPM E0800 Green,Controle de Qualidade,17.02.2021 11:53:22,17.02.2021 12:10:24,0,0
1101,5,Water Heater 1.5GPM E0800 Green,Outros,13.02.2021 08:54:40,13.02.2021 09:37:36,7,0
1102,2,Hand Games men M300 Silver,,18.02.2021 10:47:51,18.02.2021 11:08:23,334,0
1103,4,Dungeon Siege 2009 E163,Preparação de Máquina,14.02.2021 12:03:10,14.02.2021 12:43:01,0,0
1103,10,Dungeon Siege 2009 E163,Controle de Qualidade,12.02.2021 07:32:00,12.02.2021 07:51:59,0,0
1104,6,Hand Games men M30 Red,Preparação de Máquina,18.02.2021 17:27:10,18.02.2021 18:02:11,0,0
1104,6,Hand Games men M30 Red,Controle de Qualidade,12.02.2021 12:16:50,12.02.2021 12:36:51,0,0
1104,1,Hand Games men M30 Red,,15.02.2021 10:36:46,15.02.2021 10:47:07,112,0
1105,4,Dal of Honor Airborne M150,Preparação de Máquina,16.02.2021 12:04:10,16.02.2021 12:29:09,0,0
1105,1,Dal of Honor Airborne M150,Controle de Qualidade,16.02.2021 13:20:12,16.02.2021 13:39:52,0,0
1105,4,Dal of Honor Airborne M150,,13.02.2021 07:41:31,13.02.2021 07:56:58,232,0
1106,10,Home Theater System 4.1 Channel M1420 White,Preparação de Máquina,14.02.2021 14:13:46,14.02.2021 15:28:44,0,0
1107,8,COLOR INKJET FAX WITH 5.8 GHZ CORDLESS HANDSET X250 BLACK,Preparação de Máquina,14.02.2021 16:45:33,14.02.2021 17:20:51,0,0
1108,9,MechWarrior 4: Knight E121,Preparação de Máquina,15.02.2021 10:33:44,15.02.2021 11:33:54,0,0
1108,10,MechWarrior 4: Knight E121,Controle de Qualidade,16.02.2021 08:09:18,16.02.2021 08:29:31,0,0
1108,8,MechWarrior 4: Knight E121,,19.02.2021 08:10:27,19.02.2021 10:26:05,239,0
1109,2,Home Theater System 5.1 Channel M1520 Black,Preparação de Máquina,16.02.2021 13:07:32,16.02.2021 13:32:06,0,0
1109,5,Home Theater System 5.1 Channel M1520 Black,Controle de Qualidade,18.02.2021 11:10:10,18.02.2021 11:30:00,0,0
1109,8,Home Theater System 5.1 Channel M1520 Black,,15.02.2021 11:19:49,15.02.2021 12:05:03,9,0
1110,8,1GB Pulse Smart pen E50 White,Preparação de Máquina,13.02.2021 14:52:13,13.02.2021 15:17:22,0,0
1110,2,1GB Pulse Smart pen E50 White,Controle de Qualidade,18.02.2021 10:12:17,18.02.2021 10:32:03,0,0
1110,7,1GB Pulse Smart pen E50 White,,14.02.2021 07:08:15,14.02.2021 07:33:30,35,0
963,3,17'' Oscillating Pedestal Fan M125 Pink,Preparação de Máquina,08.02.2021 13:52:10,08.02.2021 14:17:10,,0
963,5,17'' Oscillating Pedestal Fan M125 Pink,Controle de Qualidade,12.02.2021 11:44:00,12.02.2021 12:04:09,0,0
963,6,17'' Oscillating Pedestal Fan M125 Pink,,07.02.2021 13:32:18,07.02.2021 14:52:48,380,0
1111,8,Home Theater System 2.1 Channel M1210 White,Preparação de Máquina,17.02.2021 11:46:01,17.02.2021 12:31:09,0,0
1111,2,Home Theater System 2.1 Channel M1210 White,Controle de Qualidade,16.02.2021 12:14:15,16.02.2021 12:34:00,0,0
1111,9,Home Theater System 2.1 Channel M1210 White,,13.02.2021 13:36:28,13.02.2021 14:32:21,273,0
1112,5,Wireless Transmitter and Bluetooth Headphones X250 Silver,Preparação de Máquina,14.02.2021 08:41:51,14.02.2021 09:02:08,0,0
1112,2,Wireless Transmitter and Bluetooth Headphones X250 Silver,Controle de Qualidade,19.02.2021 13:59:57,19.02.2021 14:16:56,0,0
1112,1,Wireless Transmitter and Bluetooth Headphones X250 Silver,,13.02.2021 14:44:35,13.02.2021 15:08:19,67,0
1113,5,Hand Games women M40 Yellow,Preparação de Máquina,13.02.2021 12:55:35,13.02.2021 13:15:28,0,0
1113,1,hand games women m40 yellow,Controle de Qualidade,15.02.2021 10:40:22,15.02.2021 10:57:40,0,0
1114,6,Rise of Nations: Rise of Legends 2008 E137,Preparação de Máquina,14.02.2021 07:31:00,14.02.2021 07:51:01,0,0
1114,3,Rise of Nations: Rise of Legends 2008 E137,Controle de Qualidade,18.02.2021 09:38:00,18.02.2021 09:54:49,0,0
1114,10,Rise of Nations: Rise of Legends 2008 E137,,13.02.2021 08:16:04,13.02.2021 10:39:29,343,0
1115,6,Water Heater 1.5GPM E0800 Red,Outros,17.02.2021 07:21:12,17.02.2021 08:39:22,390,0
1116,1,Zoo Tycoon Dinosaur Digs2009 E162,Preparação de Máquina,15.02.2021 15:13:23,15.02.2021 16:28:06,0,0
1116,1,Zoo Tycoon Dinosaur Digs2009 E162,Controle de Qualidade,14.02.2021 08:57:33,14.02.2021 10:37:43,0,0
1116,6,Zoo Tycoon Dinosaur Digs2009 E162,Manutenção Mecânica,14.02.2021 10:33:27,14.02.2021 11:18:16,0,0
1116,8,Zoo Tycoon Dinosaur Digs2009 E162,,15.02.2021 10:49:35,15.02.2021 12:55:20,84,0
1117,2,Home Theater System 5.1 Channel M1510 White,Preparação de Máquina,14.02.2021 12:23:11,14.02.2021 13:03:23,0,0
1117,6,HOME THEATER SYSTEM 5.1 CHANNEL M1510 WHITE,Manutenção Mecânica,16.02.2021 17:17:22,16.02.2021 17:52:28,0,0
1117,9,Home Theater System 5.1 Channel M1510 White,Controle de Qualidade,18.02.2021 13:15:18,18.02.2021 13:40:26,0,0
1117,7,Home Theater System 5.1 Channel M1510 White,,15.02.2021 11:39:15,15.02.2021 12:30:04,319,0
1095,2,17'' Oscillating Pedestal Fan M125 White,Preparação de Máquina,17.02.2021 17:34:13,17.02.2021 18:14:17,0,0
1095,7,17'' Oscillating Pedestal Fan M125 White,Controle de Qualidade,13.02.2021 12:24:54,13.02.2021 12:44:53,0,0
1095,4,17'' Oscillating Pedestal Fan M125 White,,14.02.2021 13:15:35,14.02.2021 14:16:23,180,0
1118,8,LCD20 M200 Black,,13.02.2021 17:54:05,13.02.2021 18:11:52,150,0
1119,8,Home Theater System 2.1 Channel E210 Brown,Controle de Qualidade,15.02.2021 12:54:17,15.02.2021 13:11:29,0,0
1119,7,Home Theater System 2.1 Channel E210 Brown,,13.02.2021 13:26:32,13.02.2021 13:50:11,158,20
1120,7,Flight Simulator 2000 M410,Preparação de Máquina,18.02.2021 09:39:35,18.02.2021 10:14:19,0,0
1120,,Flight Simulator 2000 M410,Controle de Qualidade,13.02.2021 14:42:51,13.02.2021 14:59:57,0,0
1120,9,Flight Simulator 2000 M410,,17.02.2021 11:03:59,17.02.2021 12:57:54,172,22
1092,10,LCD22 M2002 White,,14.02.2021 09:27:38,14.02.2021 12:28:17,63,0
1093,9,Bicycle Casino Games X700,,12.02.2021 13:45:50,12.02.2021 16:46:45,179,0
839,2,Gears of War M170,,07.02.2021 17:16:30,07.02.2021 20:01:56,257,0
839,7,Gears of War M170,,02.02.2021 17:35:57,02.02.2021 19:56:29,257,0
839,7,Gears of War M170,Outros,01.02.2021 13:24:14,01.02.2021 15:19:24,0,0
1116,8,Zoo Tycoon Dinosaur Digs2009 E162,Peça Irregular,14.02.2021 10:01:37,14.02.2021 13:16:37,84,0
1121,8,Hand Games for students E400 Black,Preparação de Máquina,13.02.2021 11:45:44,13.02.2021 12:51:02,0,0
1121,7,Hand Games for students E400 Black,Controle de Qualidade,15.02.2021 10:14:44,15.02.2021 10:35:03,0,0
1121,5,Hand Games for students E400 Black,,14.02.2021 11:06:00,14.02.2021 13:11:38,391,49
1122,5,Home Theater System 7.1 Channel M710 Brown,Preparação de Máquina,15.02.2021 08:48:37,15.02.2021 09:13:55,0,0
1122,3,Home Theater System 7.1 Channel M710 Brown,Controle de Qualidade,13.02.2021 08:26:52,13.02.2021 08:44:08,0,0
1122,10,Home Theater System 7.1 Channel M710 Brown,,15.02.2021 11:34:04,15.02.2021 11:52:56,368,0
1123,8,Age of Empires II: The Conquerors Expansion 2009 E178,Preparação de Máquina,19.02.2021 10:01:46,19.02.2021 10:26:57,0,0
1123,6,Age of Empires II: The Conquerors Expansion 2009 E178,Controle de Qualidade,16.02.2021 16:13:52,16.02.2021 16:34:01,0,0
1117,1,Home Theater System 5.1 Channel M1510 White,,15.02.2021 11:07:26,15.02.2021 11:32:56,319,0
1123,7,Age of Empires II: The Conquerors Expansion 2009 E178,,16.02.2021 11:52:39,16.02.2021 12:23:06,381,0
1113,9,Hand Games women M40 Yellow,,15.02.2021 10:31:26,15.02.2021 10:45:07,355,0
1124,4,Home Theater System 2.1 Channel M1210 Silver,Preparação de Máquina,19.02.2021 07:24:57,19.02.2021 08:09:42,0,0
1124,1,home theater system 2.1 channel m1210 silver,Controle de Qualidade,13.02.2021 11:40:07,13.02.2021 12:00:03,0,0
1124,2,Home Theater System 2.1 Channel M1210 Silver,,13.02.2021 09:12:57,13.02.2021 09:53:50,93,0
1012,10,17'' Oscillating Pedestal Fan M125 White,,10.02.2021 13:52:10,10.02.2021 14:32:24,271,0
1125,7,RalliSport Challenge E115,,17.02.2021 13:37:29,17.02.2021 13:52:51,280,0
1126,2,Water Heater 2.6GPM E0900 Green,Preparação de Máquina,13.02.2021 12:44:29,13.02.2021 13:04:29,0,0
1126,6,Water Heater 2.6GPM E0900 Green,Preparação de Máquina,18.02.2021 14:11:02,18.02.2021 14:28:11,0,
1126,9,Water Heater 2.6GPM E0900 Green,,16.02.2021 11:31:29,16.02.2021 11:45:13,89,0
1127,3,Laptop8.9 E089 Black,Preparação de Máquina,13.02.2021 07:21:04,13.02.2021 07:41:09,0,0
1127,8,Laptop8.9 E089 Black,Controle de Qualidade,19.02.2021 11:17:13,19.02.2021 11:34:29,0,0
1127,10,Laptop8.9 E089 Black,,14.02.2021 07:09:15,14.02.2021 09:02:49,232,0
1128,3,Age of Empires II: The Age of Kings E126,Preparação de Máquina,15.02.2021 16:11:51,15.02.2021 16:52:10,0,0
1128,6,Age of Empires II: The Age of Kings E126,Controle de Qualidade,19.02.2021 17:00:23,19.02.2021 17:20:08,0,0
1128,1,Age of Empires II: The Age of Kings E126,,14.02.2021 07:50:44,14.02.2021 08:06:23,273,0
1129,5,LCD24W X300 Black,Preparação de Máquina,15.02.2021 12:17:59,15.02.2021 13:17:34,0,0
1129,8,LCD24W X300 Black,Controle de Qualidade,15.02.2021 11:58:33,15.02.2021 12:18:42,0,0
1129,4,LCD24W X300 Black,,14.02.2021 11:47:02,14.02.2021 11:57:27,355,0
1130,9,Home Theater System 5.1 Channel M1520 Black,,13.02.2021 09:06:46,13.02.2021 10:47:36,351,0
1131,8,Hand Games for kids E30 Yellow,,15.02.2021 13:49:26,15.02.2021 14:02:52,216,0
1132,1,Hand Games for 12-16 boys E60 Red,Preparação de Máquina,15.02.2021 17:02:49,15.02.2021 17:52:46,0,0
1132,9,Hand Games for 12-16 boys E60 Red,Controle de Qualidade,14.02.2021 13:07:49,14.02.2021 13:27:39,0,0
1132,7,Hand Games for 12-16 boys E60 Red,,15.02.2021 17:22:59,15.02.2021 18:13:22,273,0
1133,3,Halo 2 for Windows Vista 2009 E130,Preparação de Máquina,13.02.2021 15:45:30,13.02.2021 16:30:38,0,0
1133,9,Halo 2 for Windows Vista 2009 E130,Controle de Qualidade,14.02.2021 07:50:09,14.02.2021 08:10:14,0,0
1133,9,Halo 2 for Windows Vista 2009 E130,,15.02.2021 17:41:16,15.02.2021 18:06:54,91,0
1134,3,Wireless Bluetooth Stereo Headphones M402 Purple,,15.02.2021 14:57:41,15.02.2021 15:46:11,251,0
1135,2,Hand Games for students E400 Red,,18.02.2021 07:43:23,18.02.2021 08:28:58,135,0
1136,8,2GB Spy Video Recorder Pen M300 Purple,Preparação de Máquina,18.02.2021 09:39:27,18.02.2021 10:04:34,0,0
1136,7,2GB Spy Video Recorder Pen M300 Purple,Controle de Qualidade,17.02.2021 10:23:31,17.02.2021 10:40:09,0,0
1136,10,2GB Spy Video Recorder Pen M300 Purple,,17.02.2021 15:22:10,17.02.2021 16:20:53,367,46
1137,3,Coffee Maker Auto 10C M1000 White,,13.02.2021 13:50:18,13.02.2021 17:20:53,237,0
1137,9,COFFEE MAKER AUTO 10C M1000 WHITE,,15.02.2021 11:57:33,15.02.2021 14:58:10,237,0
1138,9,Zoo Tycoon 2: Extinct Animals 2008 E129,Preparação de Máquina,14.02.2021 14:52:39,14.02.2021 15:09:41,0,0
1138,9,Zoo Tycoon 2: Extinct Animals 2008 E129,,14.02.2021 16:42:31,14.02.2021 17:56:04,304,0
1138,9,Zoo Tycoon 2: Extinct Animals 2008 E129,,15.02.2021 15:20:18,15.02.2021 19:20:50,304,0
1138,1,Zoo Tycoon 2: Extinct Animals 2008 E129,,18.02.2021 16:22:56,18.02.2021 19:23:33,304,0
1139,4,Zoo Tycoon Dinosaur Digs X200,Controle de Qualidade,13.02.2021 08:22:33,13.02.2021 08:39:44,0,0
1139,1,Zoo Tycoon Dinosaur Digs X200,,13.02.2021 17:34:04,13.02.2021 21:34:30,234,0
1139,4,Zoo Tycoon Dinosaur Digs X200,,16.02.2021 08:16:22,16.02.2021 11:57:04,234,0
1139,6,Zoo Tycoon Dinosaur Digs X200,,17.02.2021 13:11:42,17.02.2021 14:28:15,234,0
1140,5,Hand Games for 12-16 boys E600 Red,,16.02.2021 11:10:53,16.02.2021 14:51:36,400,0
1140,4,hand games for 12-16 boys e600 red,,19.02.2021 12:12:40,19.02.2021 15:13:35,400,0
1141,1,Zoo Tycoon 2: Zookeeper Collection 2008 E134,,14.02.2021 12:06:46,14.02.2021 14:07:19,356,0
1079,2,Home Theater System 2.1 Channel E210 Brown,,14.02.2021 10:40:13,14.02.2021 12:20:32,141,18
1142,7,Zoo Tycoon 2008 E142,Preparação de Máquina,18.02.2021 07:08:32,18.02.2021 08:03:38,0,0
1142,3,Zoo Tycoon 2008 E142,Controle de Qualidade,15.02.2021 07:09:24,15.02.2021 07:29:28,0,0
1142,2,Zoo Tycoon 2008 E142,,14.02.2021 11:13:46,14.02.2021 12:14:13,171,0
1050,4,Home Theater System 7.1 Channel M1700 Brown,,17.02.2021 16:22:39,17.02.2021 16:37:54,232,0
1050,1,Home Theater System 7.1 Channel M1700 Brown,,11.02.2021 13:57:12,11.02.2021 15:18:02,232,0
1143,3,Home Theater System 4.1 Channel M410 Black,Preparação de Máquina,18.02.2021 15:05:02,18.02.2021 16:20:00,0,0
1143,7,Home Theater System 4.1 Channel M410 Black,Falha Operador,16.02.2021 15:36:17,16.02.2021 16:05:55,0,0
1131,,Hand Games for kids E30 Yellow,Preparação de Máquina,18.02.2021 16:45:41,18.02.2021 17:05:37,0,0
1131,4,Hand Games for kids E30 Yellow,Controle de Qualidade,16.02.2021 17:06:08,16.02.2021 17:22:54,0,0
1131,7,Hand Games for kids E30 Yellow,,14.02.2021 17:19:49,14.02.2021 17:43:08,216,0
1103,5,Dungeon Siege 2009 E163,,12.02.2021 07:01:03,12.02.2021 07:21:35,75,0
1144,4,Hand Games for kids E30 Yellow,,16.02.2021 15:10:04,16.02.2021 15:25:25,342,0
1145,8,8GB MP3 Player new model M820 Blue,,15.02.2021 10:39:21,15.02.2021 10:59:48,78,0
1146,1,Wireless Bluetooth Stereo Headphones M402 Black,Outros,14.02.2021 14:50:03,14.02.2021 15:19:58,325,0
1147,6,Car Video TFT6.2W E6282 Silver,,16.02.2021 11:02:58,16.02.2021 11:16:49,362,0
1106,4,Home Theater System 4.1 Channel M1420 White,Controle de Qualidade,14.02.2021 15:09:21,14.02.2021 15:29:12,0,0
1106,6,Home Theater System 4.1 Channel M1420 White,,17.02.2021 15:28:22,17.02.2021 16:43:37,24,0
1107,3,COLOR INKJET FAX WITH 5.8 GHZ CORDLESS HANDSET X250 BLACK,Controle de Qualidade,18.02.2021 07:23:05,18.02.2021 07:42:58,0,0
1148,4,Zoo Tycoon Complete Collection E110,Controle de Qualidade,18.02.2021 07:42:31,18.02.2021 08:07:38,0,0
1148,6,Zoo Tycoon Complete Collection E110,,16.02.2021 15:46:04,16.02.2021 16:56:27,324,0
1107,4,Color Inkjet Fax with 5.8 GHz Cordless Handset X250 Black,,18.02.2021 12:05:36,18.02.2021 12:50:57,255,0
1149,5,Flight Simulator 2009 E179,Controle de Qualidade,14.02.2021 09:01:00,14.02.2021 09:20:34,0,0
1149,7,Flight Simulator 2009 E179,,18.02.2021 17:59:51,18.02.2021 19:00:19,249,31
1095,8,17'' Oscillating Pedestal Fan M125 White,,12.02.2021 07:54:02,12.02.2021 10:34:20,180,0
1097,4,Car Video LCD9.2W X9281 Black,,13.02.2021 17:58:07,13.02.2021 20:53:29,64,0
1150,1,Home Theater System 5.1 Channel M511 Black,Preparação de Máquina,20.02.2021 08:29:36,20.02.2021 09:04:54,0,0
1150,9,Home Theater System 5.1 Channel M511 Black,Controle de Qualidade,16.02.2021 08:04:07,16.02.2021 08:23:47,0,0
1150,8,Home Theater System 5.1 Channel M511 Black,,19.02.2021 14:32:03,19.02.2021 16:22:32,50,0
1060,8,MechWarrior 4 Mach Paks2009 E161,Preparação de Máquina,12.02.2021 09:02:09,12.02.2021 09:37:06,0,0
1060,2,MechWarrior 4 Mach Paks2009 E161,Controle de Qualidade,11.02.2021 12:35:51,11.02.2021 12:55:43,0,0
1060,1,MechWarrior 4 Mach Paks2009 E161,,12.02.2021 13:24:57,12.02.2021 14:00:33,150,0
1060,8,MechWarrior 4 Mach Paks2009 E161,Peça Danificada,13.02.2021 07:36:20,13.02.2021 10:21:14,150,0
1097,5,Car Video LCD9.2W X9281 Black,,13.02.2021 09:50:15,13.02.2021 14:50:27,64,0
1151,5,Age of Empires II Gold Edition2009 E172,,15.02.2021 17:54:23,15.02.2021 18:00:10,183,0
1134,2,Wireless Bluetooth Stereo Headphones M402 Purple,Preparação de Máquina,13.02.2021 07:07:06,13.02.2021 07:27:05,0,0
1134,4,Wireless Bluetooth Stereo Headphones M402 Purple,Controle de Qualidade,19.02.2021 09:01:52,19.02.2021 09:18:49,0,0
1134,5,Wireless Bluetooth Stereo Headphones M402 Purple,,17.02.2021 10:25:40,17.02.2021 11:14:24,251,0
1135,4,hand games for students e400 red,Preparação de Máquina,16.02.2021 17:10:27,16.02.2021 18:00:45,,0
1135,8,Hand Games for students E400 Red,Controle de Qualidade,15.02.2021 12:39:18,15.02.2021 12:59:15,0,0
1130,4,Home Theater System 5.1 Channel M1520 Black,Preparação de Máquina,16.02.2021 17:09:35,16.02.2021 17:49:22,0,0
1135,4,Hand Games for students E400 Red,,19.02.2021 13:51:18,19.02.2021 14:22:09,135,0
1130,3,Home Theater System 5.1 Channel M1520 Black,Controle de Qualidade,19.02.2021 16:24:31,19.02.2021 16:44:08,0,0
1130,10,Home Theater System 5.1 Channel M1520 Black,,13.02.2021 17:39:50,13.02.2021 18:10:43,351,0
1152,10,180 CFM Vertical Discharge Fan X450 Red,Preparação de Máquina,15.02.2021 12:09:47,15.02.2021 12:39:37,0,0
1152,9,180 CFM Vertical Discharge Fan X450 Red,Controle de Qualidade,15.02.2021 10:42:57,15.02.2021 11:02:51,0,0
1152,1,180 CFM Vertical Discharge Fan X450 Red,,19.02.2021 13:58:30,19.02.2021 15:58:47,256,0
1152,2,180 CFM Vertical Discharge Fan X450 Red,,14.02.2021 14:34:47,14.02.2021 15:25:28,256,0
839,4,GEARS OF WAR M170,,07.02.2021 12:30:48,07.02.2021 16:31:36,257,0
839,6,Gears of War M170,,03.02.2021 07:37:55,03.02.2021 10:58:43,257,0
1121,9,Hand Games for students E400 Black,,18.02.2021 08:55:32,18.02.2021 10:21:14,391,0
1151,9,Age of Empires II Gold Edition2009 E172,Preparação de Máquina,20.02.2021 11:12:02,20.02.2021 11:46:40,0,0
1096,9,Home Theater System 4.1 Channel M412 Black,,13.02.2021 14:53:39,13.02.2021 17:14:28,330,0
1151,10,Age of Empires II Gold Edition2009 E172,Controle de Qualidade,17.02.2021 16:13:35,17.02.2021 16:33:33,0,0
1151,7,Age of Empires II Gold Edition2009 E172,,18.02.2021 16:50:44,18.02.2021 19:31:06,183,0
1151,9,Age of Empires II Gold Edition2009 E172,,16.02.2021 11:50:12,16.02.2021 12:00:36,183,0
1151,10,Age of Empires II Gold Edition2009 E172,,14.02.2021 10:31:35,14.02.2021 10:52:12,183,0
1153,2,Hand Games for Office worker L299 Silver,Preparação de Máquina,15.02.2021 07:48:17,15.02.2021 09:02:58,0,0
1153,6,Hand Games for Office worker L299 Silver,Controle de Qualidade,17.02.2021 15:26:38,17.02.2021 15:46:54,0,
1153,2,Hand Games for Office worker L299 Silver,,14.02.2021 12:55:35,14.02.2021 14:01:25,132,0
1154,4,Halo: Combat Evolved2009 E149,Controle de Qualidade,19.02.2021 16:39:04,19.02.2021 16:59:12,0,0
1154,6,Halo: Combat Evolved2009 E149,,15.02.2021 08:01:40,15.02.2021 08:47:08,312,0
1155,7,Dal of Honor Airborne 2008 M430,Preparação de Máquina,14.02.2021 07:58:47,14.02.2021 08:23:43,0,0
1155,6,Dal of Honor Airborne 2008 M430,Controle de Qualidade,17.02.2021 14:40:07,17.02.2021 14:59:53,0,0
1155,3,Dal of Honor Airborne 2008 M430,,14.02.2021 14:39:15,14.02.2021 15:34:53,211,0
1156,2,Wireless Transmitter and Bluetooth Headphones M150 Blue,Controle de Qualidade,14.02.2021 07:46:50,14.02.2021 08:06:50,0,0
1156,5,Wireless Transmitter and Bluetooth Headphones M150 Blue,,15.02.2021 17:58:16,15.02.2021 18:28:54,375,0
1110,10,1GB Pulse Smart pen E50 White,,13.02.2021 15:38:52,13.02.2021 18:19:30,35,0
1137,4,Coffee Maker Auto 10C M1000 White,,15.02.2021 10:28:33,15.02.2021 15:29:10,237,0
1137,7,Coffee Maker Auto 10C M1000 White,,13.02.2021 13:49:17,13.02.2021 17:49:38,237,0
1138,2,Zoo Tycoon 2: Extinct Animals 2008 E129,,16.02.2021 14:53:57,16.02.2021 18:29:15,304,0
1139,8,Zoo Tycoon Dinosaur Digs X200,,13.02.2021 08:26:09,13.02.2021 12:06:30,234,0
1140,2,Hand Games for 12-16 boys E600 Red,,19.02.2021 15:10:39,19.02.2021 20:10:49,400,0
1140,8,Hand Games for 12-16 boys E600 Red,,13.02.2021 17:22:07,13.02.2021 21:22:42,400,0
1137,6,Coffee Maker Auto 10C M1000 White,,13.02.2021 07:20:47,13.02.2021 12:21:17,237,30
1137,1,Coffee Maker Auto 10C M1000 White,,14.02.2021 09:45:21,14.02.2021 13:45:59,237,0
1140,4,Hand Games for 12-16 boys E600 Red,Outros,17.02.2021 10:38:38,17.02.2021 14:53:23,400,0
1140,10,Hand Games for 12-16 boys E600 Red,,14.02.2021 15:33:50,14.02.2021 20:34:37,400,0
1129,,lcd24w x300 black,,15.02.2021 15:58:01,15.02.2021 20:58:17,355,0
1129,7,LCD24W X300 Black,,15.02.2021 09:19:35,15.02.2021 13:19:51,355,0
1157,4,4GB Portable MP3 Player M450 Black,Controle de Qualidade,16.02.2021 09:05:45,16.02.2021 09:30:43,0,0
1157,10,4GB Portable MP3 Player M450 Black,Preparação de Máquina,16.02.2021 15:09:21,16.02.2021 15:29:09,0,0
1157,8,4GB Portable MP3 Player M450 Black,,20.02.2021 08:01:32,20.02.2021 09:31:58,228,0
1158,7,Water Heater 1.5GPM E0800 Grey,Controle de Qualidade,17.02.2021 16:02:47,17.02.2021 16:19:35,0,0
1158,8,Water Heater 1.5GPM E0800 Grey,Preparação de Máquina,16.02.2021 09:07:20,16.02.2021 09:24:23,0,0
1158,6,Water Heater 1.5GPM E0800 Grey,,16.02.2021 12:18:08,16.02.2021 13:07:21,215,0
1159,7,4GB Portable MP3 Player M450 Yellow,Preparação de Máquina,16.02.2021 07:23:48,16.02.2021 08:13:38,0,0
1159,5,4GB Portable MP3 Player M450 Yellow,Controle de Qualidade,14.02.2021 09:07:55,14.02.2021 09:32:43,0,0
